0,1,2,3,4,5,6,7,8,9,y
2.785,5.966,-8.877,1.513,-0.282,2.883,-4.606,-9.058,-0.986,-9.239,-180.64694200000002
3.515,-2.404,-7.897,9.571,6.176,3.986,-9.165,-0.195,9.133,5.718,130.36478999999997
-3.1,4.795,2.577,4.147,-6.0,1.231,-4.411,-7.437,-1.575,-4.197,-103.44627399999999
-6.08,-8.611,4.609,-2.348,1.882,-8.803,4.561,1.546,0.632,-2.915,-88.30680800000002
6.906,-9.088,9.201,-7.478,-4.419,-5.631,5.727,-3.54,-5.902,5.853,-54.22344499999997
-6.238,-8.789,2.377,9.31,9.567,-3.004,-9.408,9.772,3.346,-4.613,63.87349
4.966,-5.444,-6.873,-0.404,7.134,3.462,-4.183,-7.661,-3.616,6.085,-79.40393800000001
-8.806,-9.091,6.418,8.554,-9.535,8.93,8.556,-7.657,-0.13,-0.099,-46.07104199999999
-6.697,5.345,-3.257,8.393,-6.932,-5.494,-1.411,-0.114,-1.368,9.683,-5.447519000000014
4.801,3.198,6.809,-5.943,2.463,9.903,-7.274,-0.337,3.778,-6.542,87.94671800000003
-9.563,-7.651,9.599,-0.523,6.692,-1.781,-7.925,7.722,-4.567,-3.562,-33.42667200000001
8.799,2.181,-9.868,6.801,-3.539,-6.539,-2.564,-4.771,2.522,7.264,-14.304648000000022
-5.641,4.962,-3.915,-4.611,2.665,1.508,1.193,-7.432,9.753,-8.939,-89.42862999999998
1.199,-1.668,-2.775,8.773,-0.364,-3.527,-5.541,9.191,2.712,2.437,100.24811699999998
-8.072,3.097,-8.45,-7.999,3.147,1.474,-7.451,-7.823,-2.453,-0.402,-273.651452
7.572,-9.683,-1.268,1.833,-5.609,5.961,4.083,0.922,8.316,7.508,125.22148600000003
-1.353,1.903,9.256,-6.375,-7.66,1.191,5.609,-7.91,-7.889,-0.131,-106.260999
4.608,2.243,8.495,1.151,9.708,0.53,-7.36,-5.045,-6.287,-3.023,53.289105000000006
4.377,-9.578,5.815,1.66,-0.832,-1.2,-5.617,4.815,0.205,8.894,91.10938600000001
1.265,-1.278,-5.866,-9.769,5.613,-3.979,8.685,-0.164,9.043,-2.625,-5.368113999999988
-2.806,-2.797,7.618,0.68,7.527,3.636,-8.37,-5.128,-0.29,0.86,25.79229499999999
0.921,-0.126,-7.279,-3.854,-8.402,0.854,-1.034,9.847,-9.889,3.732,-123.66908299999997
0.447,-3.872,8.066,8.862,5.748,2.471,-8.986,-7.42,-0.911,-6.643,-0.8320159999999888
-1.074,-5.228,4.698,9.692,5.663,2.861,-3.338,-9.512,1.007,-6.689,-16.642421999999975
-6.768,-8.014,1.352,8.961,4.499,-2.941,4.736,6.321,-0.78,1.739,80.50990799999998
7.642,7.337,6.711,0.878,-9.155,-8.74,3.294,1.793,-3.506,-6.255,19.98599400000004
-5.505,0.75,9.204,1.274,5.122,2.752,8.557,8.97,-6.211,3.6,224.40573799999999
4.431,9.795,-8.186,-4.695,-7.343,-2.723,8.522,-3.881,4.751,-6.46,-74.80909600000001
-9.751,-7.228,6.731,-7.665,-3.648,8.632,-8.652,9.834,-5.003,-8.627,-159.35121000000004
7.909,-9.294,1.66,-1.717,4.65,4.436,-9.699,-1.605,5.803,-8.172,-37.144396
2.72,-2.113,2.968,-0.542,-1.641,-6.585,1.627,-5.596,-8.881,1.43,-122.787888
9.955,-4.974,-1.205,7.202,-6.426,-7.27,-3.904,-2.925,-1.249,-3.938,-105.096405
0.738,-3.308,-2.313,-5.467,-2.161,6.637,-5.232,-9.523,-0.877,0.036,-182.833865
6.828,-1.576,5.928,-6.9,-0.512,-6.021,-6.036,-7.298,1.042,-9.59,-157.78042399999998
-1.886,-2.296,0.206,-2.474,4.319,3.388,-6.782,1.246,9.264,-3.371,27.509983999999992
-0.417,5.662,-3.074,3.729,-2.47,9.045,4.568,-2.893,-1.348,-2.27,40.617471
3.082,-8.23,9.837,-4.382,-7.616,-0.503,2.713,-3.931,6.233,-3.48,-32.32598899999999
-2.787,-7.565,2.085,6.717,-0.384,6.489,-0.454,7.676,9.565,8.441,232.11984999999999
-1.809,-2.726,4.052,7.765,-6.58,7.219,7.075,2.405,-7.428,-9.708,-18.196198000000003
-2.394,-4.389,3.418,-3.518,5.998,-1.409,-8.597,-1.859,-2.41,-9.537,-160.586162
2.588,6.383,-7.422,-1.846,-8.542,4.102,2.758,-1.943,8.023,8.535,65.86453500000002
0.8,-6.048,0.84,3.248,9.091,7.136,-9.12,8.962,-4.165,-0.397,88.84703999999999
-6.567,7.978,4.604,9.012,-3.692,-1.275,-9.701,6.945,-9.492,-9.917,-55.223163
-7.108,-6.487,9.618,-9.917,1.181,-2.879,3.738,3.005,6.483,7.954,77.35070099999999
-6.231,3.004,5.599,-2.702,4.717,-3.281,-8.261,-9.061,-6.32,-9.692,-218.56420699999998
7.91,9.048,7.295,-5.262,0.615,6.88,-1.8,-6.222,7.649,8.949,258.386382
3.687,-8.227,2.927,-1.795,3.449,-2.343,-0.056,-9.969,7.736,-6.559,-82.20716100000001
5.31,-2.496,-7.064,-6.603,-8.063,0.542,-9.698,2.332,-8.949,0.149,-264.04641
5.19,9.995,-3.438,0.395,9.305,2.872,3.026,7.162,5.602,8.65,355.569485
0.387,9.234,2.462,-3.025,9.852,8.567,-2.474,-7.444,-5.816,1.666,79.24239700000001
5.484,6.893,7.987,-7.841,-2.291,-8.831,-7.568,0.117,2.83,6.227,69.505492
-1.672,3.807,8.593,4.217,0.979,2.46,9.974,-4.494,-0.325,6.558,215.391697
4.029,-6.3,-6.786,3.674,5.443,-8.265,9.294,-5.065,-2.772,-2.057,-91.447641
8.09,-8.36,-0.088,-7.512,3.232,1.414,-0.23,2.043,9.402,0.154,62.77896
-9.306,3.609,4.548,-3.255,4.23,8.314,8.238,-7.965,-6.277,-8.066,-72.36900599999998
7.677,7.516,-2.878,2.792,-0.58,-5.402,-3.435,5.777,0.867,-8.187,43.707025000000016
-7.078,-9.803,-2.548,9.711,9.396,-9.68,-3.911,6.288,3.204,5.5,43.736321000000004
-1.041,-9.768,-9.737,2.27,-3.642,-2.402,1.009,6.156,-7.654,-8.935,-266.48666900000006
-8.369,4.18,-2.287,-3.201,7.591,4.285,8.024,-8.654,-6.376,-7.091,-124.59816099999999
-9.03,4.841,-4.85,-2.349,-7.769,-9.427,0.531,9.989,-4.353,-1.72,-155.43331999999995
7.352,8.161,7.154,-7.083,6.929,-1.819,5.34,2.005,-9.46,4.996,178.16901500000003
7.156,8.141,8.463,-1.354,-2.639,-8.998,-0.734,0.902,-7.614,-5.849,9.515083999999987
0.399,2.955,3.151,0.245,-4.018,3.763,-6.901,4.766,-7.552,2.768,8.31044
-4.452,7.661,7.667,-5.87,8.148,1.327,3.798,2.185,-6.508,-7.126,61.79722600000002
8.354,-6.752,-7.176,-8.49,7.36,-5.521,9.201,-6.326,-0.792,-0.205,-110.58413599999999
-0.896,-4.065,5.163,5.473,1.802,-1.635,6.995,8.881,-8.629,8.164,166.77315099999998
5.544,0.462,5.504,0.633,5.939,0.132,1.667,7.405,8.501,-5.304,248.266032
-7.818,-2.359,-6.447,4.741,-7.121,-1.903,1.403,5.063,1.437,-7.335,-151.812801
-9.46,1.277,7.471,-9.209,-3.502,-4.001,3.797,2.876,7.794,2.395,31.11440799999998
3.643,-0.546,-2.01,4.69,-1.093,3.446,-1.281,-7.299,-3.981,9.292,10.904343000000004
-5.177,-0.14,3.874,-1.4,1.149,6.998,-7.005,-7.091,0.244,7.244,-8.760761000000002
5.201,3.966,4.235,3.926,7.823,7.279,-9.757,7.743,-2.236,0.161,227.43768799999995
0.817,6.763,-3.502,-6.075,-9.06,-7.221,2.621,-7.811,3.296,9.75,-83.78374400000001
9.706,3.91,-8.68,5.889,-7.512,-3.954,3.009,-0.651,7.253,-0.917,39.54662400000001
0.677,9.356,-9.713,-7.745,3.107,-4.222,-8.676,-0.314,3.492,-7.142,-152.49764400000004
5.13,-7.78,-6.195,1.471,7.252,-3.905,-7.789,3.873,-5.329,2.072,-77.82752099999999
-9.129,-0.351,7.929,-8.138,-8.516,9.742,-2.492,6.32,-6.011,6.136,-20.165627
-0.851,0.675,-2.749,6.783,4.041,4.726,-5.681,-9.149,8.972,-0.541,34.453856
1.028,-8.721,-1.617,6.877,2.765,-0.093,4.801,0.936,5.807,1.914,94.214084
-1.963,-3.245,-5.508,8.802,-4.377,4.646,-1.763,-1.655,0.723,4.9,-16.188853
2.273,-7.053,7.876,7.255,-7.133,2.603,-5.841,4.682,-4.598,9.948,95.902205
-4.769,9.053,3.753,-1.258,-3.811,0.491,-7.919,0.626,1.8,3.252,35.28924300000003
9.772,-8.439,-9.604,1.446,0.333,-7.842,-7.872,8.711,0.201,-8.317,-148.327068
5.815,-0.881,-2.205,-3.332,1.978,3.094,-3.667,3.238,-8.707,-3.51,-71.055126
9.172,-7.059,-6.532,0.648,1.431,2.581,-6.53,-5.24,-6.716,7.206,-109.17643899999999
-0.23,3.47,2.994,-4.276,-2.969,-8.943,-2.681,-2.085,0.022,-4.424,-115.63241199999999
-4.525,-4.513,-7.49,7.438,-3.995,8.386,-6.269,0.651,-0.354,-8.605,-163.632674
-1.5,-2.977,7.964,5.513,-4.788,3.983,-0.977,-4.567,5.85,-4.181,40.848291999999994
-1.139,6.454,5.635,-3.619,-4.298,-2.556,5.259,-6.185,1.126,-6.283,-39.780512999999985
8.391,0.479,3.352,2.487,-3.71,1.594,-7.93,6.761,-4.239,-2.472,51.88954699999999
-2.635,4.17,1.267,-5.893,8.617,4.184,-9.573,-4.636,-4.9,-2.523,-84.268452
1.378,-4.66,3.113,-4.027,8.763,-4.223,-8.553,-9.947,6.372,6.92,-15.155955999999996
3.929,2.552,-8.839,0.971,5.209,6.811,-8.915,9.708,9.275,-3.508,127.469393
-2.073,1.86,6.19,8.484,7.654,9.641,-8.899,1.291,3.566,-4.009,190.92493100000004
0.229,2.344,-6.937,-6.919,-2.636,7.424,9.292,1.813,-3.136,-1.943,-48.25038999999999
-0.998,7.125,6.257,0.131,6.596,3.155,3.455,-1.776,-9.354,-5.96,58.07803100000001
-4.125,-9.968,5.156,-7.386,-2.683,-3.563,-6.915,5.235,-9.748,2.238,-202.496575
8.701,-6.066,5.671,-7.43,7.686,-3.91,4.223,-3.123,5.393,0.728,96.31987399999998
-4.334,1.834,-3.73,-6.919,-0.312,-3.435,5.084,8.854,-7.418,2.324,-58.77737400000002
-6.096,-7.066,9.449,-7.308,8.067,5.157,-5.36,9.879,9.534,-4.6,132.384137
7.612,-1.236,3.401,-0.254,-1.895,8.119,5.97,9.46,-5.279,2.397,195.04037
9.845,8.548,-3.735,7.151,-8.747,3.904,-2.387,3.123,-9.024,9.675,113.67127400000004
-7.298,-5.229,8.445,6.714,9.058,-5.178,-4.282,2.33,7.292,6.802,188.28264199999998
-6.335,-2.469,-5.294,-5.242,-0.159,1.913,-3.905,9.219,1.45,2.077,-54.908432
9.508,-5.858,3.876,-4.024,2.689,7.248,-5.541,-6.369,6.294,-2.978,28.923839999999988
-0.82,5.217,-5.817,0.959,9.421,-8.133,7.008,-6.332,-8.379,1.886,-58.46079300000002
-2.559,1.847,-3.833,-9.149,-4.835,-4.882,6.601,0.269,1.674,6.304,-69.04369700000001
0.417,3.144,-2.979,-1.331,5.855,-7.92,6.666,5.476,-4.641,-2.058,22.309956000000007
-4.018,-4.313,3.141,8.415,1.478,0.39,-7.731,0.923,7.964,9.924,148.204319
-1.001,0.612,-9.533,-1.589,6.425,-7.104,5.167,9.844,-1.985,7.271,58.68558199999998
3.177,4.874,-6.147,-2.871,3.814,9.18,-8.57,5.055,-8.378,-4.654,-51.44981700000001
-1.941,0.953,-3.628,-9.766,0.797,-7.035,-2.697,-1.972,-9.573,-1.849,-269.022476
-7.525,0.299,-9.3,2.807,0.539,-3.244,-3.932,-1.829,-4.413,-6.967,-257.43352500000003
-9.846,-4.096,9.509,9.869,-1.815,-2.976,-9.575,-2.313,-5.874,2.756,-65.89320200000002
-5.19,-4.051,-9.087,8.765,-9.555,1.812,-7.161,5.345,-4.872,-3.006,-206.95726599999998
-4.047,0.631,-0.321,1.22,3.517,3.132,9.541,-6.663,-0.216,8.765,86.68451
6.526,-9.034,6.886,-3.918,-7.178,-7.64,-3.991,5.82,-7.128,-0.927,-118.419118
-6.707,3.424,6.519,-9.212,-4.046,8.539,6.509,-1.218,2.555,5.97,84.05745
7.175,-5.005,7.614,3.951,5.805,-1.639,0.089,2.801,9.261,-6.499,199.94656000000003
1.571,0.879,-1.361,-4.142,-8.648,8.634,-7.802,-2.105,0.896,-5.757,-143.382782
8.397,-5.608,-5.955,3.087,-6.486,3.537,-2.43,-2.599,9.616,-9.188,-76.789821
7.971,-9.212,6.224,-4.866,-2.168,-9.074,-6.746,-5.211,-0.412,-0.266,-146.63392499999998
7.588,5.58,-9.718,-0.525,-7.672,-4.255,-5.003,-1.284,-7.771,2.594,-169.83051499999996
-4.826,3.757,3.335,5.91,5.594,8.277,0.05,-7.364,5.203,9.91,209.75851800000004
-8.479,3.027,-7.579,-2.405,-4.369,-5.28,4.132,8.578,0.035,-8.402,-149.43500199999997
-5.54,-6.511,-5.996,4.642,-4.354,-9.375,4.02,-8.74,-3.708,-3.056,-300.22426800000005
4.749,6.854,3.548,2.602,7.703,9.68,3.229,-2.391,4.295,-0.117,278.54927
-6.686,3.293,-1.495,5.399,-1.341,8.369,2.539,1.264,3.176,-9.843,18.456775000000007
5.718,2.94,1.714,-8.822,-5.317,4.235,-2.178,-6.653,0.479,-0.531,-75.71150999999998
-9.077,-0.797,-1.46,3.676,-1.583,1.233,3.349,-8.739,-0.035,2.233,-100.62083000000004
-5.679,-7.569,-3.385,-8.654,-4.444,3.431,2.775,0.503,-7.779,5.649,-206.06750100000002
3.104,-8.138,7.587,-6.181,-8.53,1.62,-4.939,-0.507,-9.839,-5.102,-218.606791
0.101,6.115,0.994,-0.948,-0.332,7.803,-6.154,0.123,0.685,-7.195,6.5960119999999876
0.072,7.276,-3.424,0.632,0.332,2.094,-2.424,-9.334,5.089,-2.271,-31.157248999999982
-1.7,0.87,-2.899,-2.845,-9.696,4.331,-0.122,0.074,-6.989,-3.188,-183.84471799999997
-2.687,-4.975,-7.312,9.675,8.458,-0.137,-3.962,-8.913,-1.547,2.355,-88.238286
0.536,4.758,-9.47,5.96,-0.429,-9.306,-8.84,3.886,4.868,1.161,-30.686024000000018
1.429,-4.597,-1.848,-6.776,-6.613,-6.334,-2.703,8.862,-4.291,1.146,-140.23130100000006
6.763,0.838,-9.556,-7.123,-3.139,-8.97,-4.543,-0.088,6.396,6.518,-90.90171700000002
-1.291,-4.842,7.768,-7.846,7.636,-7.241,5.157,-4.25,-7.506,-7.934,-137.218248
-0.531,-5.844,-5.618,5.392,9.697,-0.918,-8.498,-4.189,-2.081,-1.07,-104.49677600000001
4.012,-9.287,3.332,-0.725,-6.289,-8.579,-8.038,-2.227,-4.387,5.677,-169.050014
4.335,-5.03,6.084,-5.555,-6.718,-2.256,-1.226,3.566,-7.462,-2.633,-109.48832200000001
1.871,4.498,-3.812,5.433,4.226,-0.419,-0.099,-7.45,3.81,1.676,56.071819999999995
-7.789,7.754,-9.08,-1.922,5.833,7.612,5.946,2.176,-6.505,1.289,-0.4383250000000025
4.212,-6.018,5.737,1.91,-0.765,-5.66,-7.636,-4.934,-1.78,-0.639,-90.74214600000002
-6.27,-7.576,1.913,-4.179,-6.014,-7.175,-1.398,4.486,6.481,9.8,-37.792142
-8.268,-3.654,6.294,-4.159,-2.224,8.649,7.045,2.814,2.988,8.312,129.32446499999998
-6.013,-8.216,7.1,4.109,-0.954,-1.451,-3.47,8.223,-9.911,-6.655,-96.47671399999999
-7.213,-2.205,-0.126,-4.116,8.201,3.599,-6.828,9.897,-3.572,0.165,5.233067000000004
-6.668,0.13,-0.679,1.914,-3.96,-0.477,-2.477,3.338,-7.825,-0.773,-123.22312
-4.361,-9.268,3.92,3.388,6.595,-1.434,-4.349,-6.67,9.297,-3.073,-24.93788000000002
-9.167,-9.134,-6.466,4.311,-1.784,4.505,9.141,5.882,3.722,-4.431,-47.66705900000003
6.345,-2.759,-7.212,-6.158,4.919,1.952,5.706,7.095,2.036,-4.573,33.218012999999985
-0.55,-5.889,5.222,3.084,-8.728,-4.811,-5.314,8.83,3.007,-3.852,-23.915303999999992
-0.972,-8.175,6.981,-9.252,8.756,7.266,-3.606,-5.85,-4.704,6.883,-21.668544999999995
-1.3,3.883,7.978,-2.936,-6.328,3.017,-0.638,-6.21,2.064,-1.694,-9.819573999999996
-4.319,5.682,2.502,-6.554,-2.081,-3.365,-8.807,6.401,9.569,5.249,78.48853
-5.505,0.508,-7.241,1.996,3.272,-3.131,-0.392,1.396,4.994,-3.34,-54.74146300000001
-3.341,3.452,0.967,4.932,-9.646,-4.77,0.055,2.987,3.955,6.205,55.03675299999999
5.234,-3.869,-1.225,-6.754,0.641,-1.556,-4.452,5.353,5.03,0.729,9.51458799999999
8.346,8.541,-3.007,1.449,-6.814,5.296,-4.187,-0.114,-2.913,-0.183,28.664416000000017
8.984,4.463,8.801,4.875,1.581,3.524,5.134,-5.36,1.585,-6.978,188.20547900000003
-5.448,-1.185,-5.761,-0.403,5.235,-4.022,9.687,2.683,9.908,-5.651,31.85393299999999
-7.0,-8.508,-3.154,-9.039,-8.838,8.26,-9.721,9.57,-7.926,5.371,-224.71723400000002
4.216,3.565,-9.954,8.756,-9.402,2.292,0.869,7.697,1.496,-4.585,15.434687999999994
1.63,7.237,4.622,0.574,6.088,7.015,6.421,-9.694,-3.514,2.206,137.050699
4.914,-9.447,5.984,7.906,0.382,-0.027,-6.185,5.997,7.228,-3.206,132.67702899999998
-1.907,-3.538,-7.34,-7.12,-4.991,-4.433,2.574,-4.873,2.857,5.461,-187.58541899999997
6.345,-2.114,5.187,1.248,-5.101,-4.059,5.996,3.397,-7.463,-0.547,24.726039000000025
-3.625,-1.613,-8.208,-9.838,-3.375,4.192,-2.148,3.436,6.697,-0.637,-121.94568100000004
9.671,-7.473,2.797,1.772,6.213,4.568,2.006,8.327,4.962,1.947,260.434683
-3.917,0.504,-4.142,-7.397,2.816,1.704,-6.144,-4.326,-1.424,7.705,-113.45988000000003
-9.424,-6.456,0.163,7.566,-2.842,-4.402,-7.396,5.919,3.233,-1.689,-76.72337700000001
-0.791,-5.307,-9.431,1.21,-7.851,-3.687,8.118,-1.472,8.707,0.701,-96.07417099999999
6.451,6.977,8.387,9.294,-1.973,4.034,7.21,8.86,4.661,-3.517,382.180629
-9.199,-2.385,4.273,-5.001,-4.616,6.716,-0.56,-3.977,7.877,4.231,-15.639486000000016
-4.629,-8.159,-7.349,-6.94,-1.535,7.214,-0.886,7.583,0.099,0.097,-122.39953700000002
6.657,2.478,-9.666,4.747,-5.97,-7.027,3.212,-0.87,0.136,0.881,-59.916466
0.009,-4.86,1.479,9.566,0.162,4.516,-5.119,1.419,0.214,0.12,59.261118
-0.407,3.793,-4.648,-6.728,-1.221,-7.906,2.438,7.87,8.021,-1.578,16.520216000000026
-4.144,-5.463,-8.235,9.657,6.747,4.538,3.962,-5.533,-7.077,-0.574,-89.694017
-6.17,-6.388,4.448,0.539,4.872,3.914,8.967,-6.982,5.361,-5.128,11.292389
2.188,-7.413,-0.236,-5.822,9.481,3.726,0.916,0.3,2.01,6.808,81.36538899999998
-6.483,-9.472,6.795,-0.631,-5.753,1.449,-4.977,8.178,7.166,2.86,34.156251
-6.856,-8.178,0.436,9.973,1.271,2.112,7.334,3.215,4.301,-8.09,36.257208999999996
9.78,-6.817,-3.133,8.919,-1.407,6.417,0.37,-6.216,-4.102,1.128,-3.6396189999999997
3.761,-5.5,5.964,5.634,6.659,1.924,1.835,1.402,8.112,-7.571,175.949538
-6.028,0.681,2.991,-6.877,-5.452,-1.425,9.013,-4.161,2.65,6.219,-22.450799999999994
-7.106,-1.271,6.486,0.15,-2.241,-9.334,-1.535,2.409,7.147,-0.495,5.57783899999999
-8.722,-1.298,7.394,6.963,8.753,-1.414,2.506,0.353,-2.441,2.558,128.633125
-4.054,-6.938,6.709,-7.988,3.333,-0.01,0.726,-3.65,-6.458,-1.145,-136.80079399999997
-1.322,8.663,-2.528,3.006,-7.552,-5.543,-0.27,2.475,9.386,7.293,117.40636099999999
-2.928,-2.437,-1.867,-4.107,5.847,-3.131,-4.765,-4.795,-8.262,0.66,-190.79354600000002
-8.508,5.745,0.435,7.724,-5.632,-3.065,-3.543,-7.222,9.393,7.387,34.84342600000002
2.103,5.246,-2.292,3.944,3.268,-4.264,9.501,7.658,-2.69,4.832,197.542962
4.129,8.869,-9.189,3.131,2.624,-2.143,8.62,-7.761,-5.077,8.439,39.223320000000015
6.867,3.496,2.6,9.861,-4.631,8.923,-5.676,-1.932,0.101,-7.98,74.48767600000001
-8.97,-8.269,3.133,-1.737,6.174,6.304,-0.193,-1.684,-4.428,4.039,-45.566462
-9.275,0.155,5.37,-6.371,8.22,0.731,-0.811,1.469,-6.277,4.959,4.044610999999982
-6.411,-6.319,-9.735,4.35,-0.626,9.413,-0.032,-9.416,3.708,-6.129,-204.0678
-9.402,-9.981,7.658,-0.126,-4.819,-7.964,-5.656,5.827,0.253,1.645,-111.45344399999999
2.715,-6.706,5.961,-2.741,-7.435,8.717,-3.707,-9.751,9.766,0.088,-29.960052999999988
9.218,-8.465,-8.203,0.076,1.985,8.518,8.906,7.466,-6.904,-8.885,-23.87460199999998
5.386,-3.953,7.32,8.119,8.541,0.373,3.957,9.503,6.155,-7.978,299.837158
-6.954,-5.368,3.467,0.401,0.493,-4.575,-5.354,-9.957,-7.056,-1.241,-256.86786400000005
6.236,-9.544,2.999,-2.302,-7.019,-7.431,2.593,5.058,-6.134,9.256,-32.30537800000002
1.408,-8.16,9.762,-8.778,9.488,-8.631,-6.462,-0.95,-8.862,-5.458,-155.50699
4.069,1.144,-2.41,9.767,-0.555,8.583,-6.379,0.138,4.377,-8.056,66.62984700000001
7.75,-4.599,-8.034,6.392,7.571,-5.441,-9.906,2.947,-4.397,7.137,0.7489059999999625
-5.575,-0.679,3.952,7.115,-8.628,-4.611,1.146,0.508,-3.122,2.0,-42.191467
8.27,-0.796,-2.65,7.349,1.947,-9.972,1.869,-4.372,-7.759,7.055,-0.3627309999999966
-5.33,2.415,-6.532,-2.367,-4.49,1.364,4.302,8.565,-5.955,-0.568,-76.90155200000001
-1.891,4.851,8.746,3.757,-8.751,1.269,-5.306,6.33,-6.477,-1.353,38.288847
-4.86,-0.519,8.78,1.618,8.622,6.754,0.633,-6.937,7.077,5.444,202.33812700000001
6.493,8.623,3.691,3.146,4.448,0.877,-5.379,-0.897,9.299,-2.256,224.859088
